497 298 198
492 295 195
489 293 193
486 291 191
485 290 190
482 288 188
481 287 187
478 285 185
475 283 183
472 281 181
467 278 178
464 276 176
459 273 173
458 272 172
455 270 170
452 268 168
451 267 167
448 265 165
445 263 163
442 261 161
441 260 160
438 258 158
435 256 156
430 253 153
427 251 151
424 249 149
423 248 148
422 247 147
417 244 144
416 243 143
411 240 140
408 238 138
403 235 135
402 234 134
399 232 132
392 228 128
390 226 127
388 225 125
385 223 123
384 222 122
382 220 121
380 219 119
377 217 117
373 214 115
368 211 112
364 209 109
361 207 107
358 205 105
357 204 104
356 203 103
353 201 101
352 200 100
347 197 97
342 194 94
337 191 91
334 189 89
333 188 88
330 186 86
328 184 85
323 181 82
317 178 78
316 177 77
311 174 74
304 170 70
301 168 68
296 165 65
295 164 64
286 159 59
285 158 58
284 157 57
283 156 56
276 152 52
275 151 51
274 150 50
273 149 49
268 146 46
267 145 45
264 143 43
261 141 41
260 140 40
259 139 39
258 138 38
251 134 34
248 132 32
241 128 28
239 126 27
230 121 22
228 120 20
225 118 18
224 117 17
223 116 16
222 115 15
219 113 13
218 112 12
215 110 10
208 105 7
205 103 4
200 100 0
