1190 1090 99
1180 1080 98
1170 1070 97
1160 1060 96
1150 1050 95
1140 1040 94
1130 1030 93
1120 1020 92
1110 1010 91
1100 1000 90
1090 990 89
1080 980 88
1070 970 87
1060 960 86
1050 950 85
1040 940 84
1030 930 83
1020 920 82
1010 910 81
1000 900 80
990 890 79
980 880 78
970 870 77
960 860 76
950 850 75
940 840 74
930 830 73
920 820 72
910 810 71
900 800 70
890 790 69
880 780 68
870 770 67
860 760 66
850 750 65
840 740 64
830 730 63
820 720 62
810 710 61
800 700 60
790 690 59
780 680 58
770 670 57
760 660 56
750 650 55
740 640 54
730 630 53
720 620 52
710 610 51
700 600 50
690 590 49
680 580 48
670 570 47
660 560 46
650 550 45
640 540 44
630 530 43
620 520 42
610 510 41
600 500 40
590 490 39
580 480 38
570 470 37
560 460 36
550 450 35
540 440 34
530 430 33
520 420 32
510 410 31
500 400 30
490 390 29
480 380 28
470 370 27
460 360 26
450 350 25
440 340 24
430 330 23
420 320 22
410 310 21
400 300 20
390 290 19
380 280 18
370 270 17
360 260 16
350 250 15
340 240 14
330 230 13
320 220 12
310 210 11
300 200 10
290 190 9
280 180 8
270 170 7
260 160 6
250 150 5
240 140 4
230 130 3
200 100 0
