3050 2117 932
3013 2092 919
2995 2080 912
2971 2063 904
2928 2034 889
2913 2024 883
2883 2001 875
2872 2002 862
2826 1962 855
2802 1945 847
2753 1912 830
2741 1904 825
2695 1868 814
2664 1846 804
2646 1834 797
2618 1816 786
2581 1790 774
2566 1780 768
2532 1756 757
2507 1740 747
2481 1720 740
2453 1702 729
2405 1669 713
2395 1662 709
2387 1657 705
2321 1598 697
2284 1573 684
2266 1561 677
2242 1544 669
2199 1515 654
2184 1505 648
2154 1482 640
2135 1475 627
2117 1463 620
2093 1446 612
2020 1389 595
2008 1381 590
1962 1345 579
1931 1323 569
1913 1311 562
1885 1293 551
1860 1279 539
1831 1255 533
1797 1231 522
1766 1209 512
1748 1197 505
1720 1179 494
1666 1142 476
1659 1137 473
1654 1134 470
1588 1075 462
1551 1050 449
1533 1038 442
1509 1021 434
1466 992 419
1451 982 413
1449 987 405
1412 962 392
1362 918 385
1338 901 377
1289 868 360
1277 860 355
1231 824 344
1200 802 334
1182 790 327
1154 772 316
1117 746 304
1102 736 298
1068 712 287
1037 690 277
1019 678 270
991 660 259
943 627 243
933 620 239
925 615 235
859 556 227
822 531 214
804 519 207
780 502 199
737 473 184
722 463 178
692 440 170
655 415 157
637 403 150
613 386 142
564 353 125
552 345 120
506 309 109
475 287 99
457 275 92
429 257 81
392 231 69
377 221 63
343 197 52
312 175 42
294 163 35
266 145 24
200 100 0
