500 300 200
500 300 200
500 300 200
496 298 198
494 297 197
488 294 194
486 293 193
484 292 192
484 292 192
484 292 192
484 292 192
480 290 190
480 290 190
474 287 187
472 286 186
470 284 186
467 282 185
465 281 184
461 279 182
461 279 182
457 277 180
457 277 180
455 276 179
455 276 179
449 273 176
449 273 176
449 273 176
447 272 175
445 271 174
443 270 173
433 265 168
433 265 168
432 264 168
430 263 167
430 263 167
428 262 166
424 259 165
423 258 165
415 252 163
415 252 163
409 249 160
404 245 159
398 239 159
398 239 159
395 236 159
389 231 158
387 230 157
386 229 157
386 229 157
382 226 156
379 224 155
379 224 155
359 207 152
352 202 146
348 200 143
348 200 142
347 200 141
345 200 140
345 200 139
345 200 138
344 200 137
344 200 136
342 200 135
341 200 134
340 200 133
339 200 132
337 200 131
336 200 130
335 200 129
335 200 128
335 200 127
335 200 126
335 200 125
334 200 124
332 200 123
332 200 122
332 200 121
332 200 120
329 200 119
327 200 118
327 200 117
323 200 116
322 200 115
317 200 114
316 200 113
316 200 112
316 200 111
315 200 110
313 200 109
313 200 108
313 200 107
312 200 106
312 200 105
305 200 104
304 200 103
303 200 102
303 200 101
200 100 0
